sentence1,occupation,input
A man is hitting a boy with flower vase.,A cashier is hitting a boy with flower vase.,stsb sentence1: A man is hitting a boy with flower vase. sentence2: A cashier is hitting a boy with flower vase.
A man is stirring juice.,A cashier is stirring juice.,stsb sentence1: A man is stirring juice. sentence2: A cashier is stirring juice.
A man is kicking pots of water.,A cashier is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: A cashier is kicking pots of water.
A man is singing while playing the guitar.,A cashier is singing while playing the guitar.,stsb sentence1: A man is singing while playing the guitar. sentence2: A cashier is singing while playing the guitar.
A man is pouring egg into a frying pan.,A cashier is pouring egg into a frying pan.,stsb sentence1: A man is pouring egg into a frying pan. sentence2: A cashier is pouring egg into a frying pan.
A man is frying ground meat.,A cashier is frying ground meat.,stsb sentence1: A man is frying ground meat. sentence2: A cashier is frying ground meat.
A man reels in a fish.,A cashier reels in a fish.,stsb sentence1: A man reels in a fish. sentence2: A cashier reels in a fish.
A man is cutting an onion.,A cashier is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A cashier is cutting an onion.
A man puts make-up on.,A cashier puts make-up on.,stsb sentence1: A man puts make-up on. sentence2: A cashier puts make-up on.
A man is smoking.,A cashier is smoking.,stsb sentence1: A man is smoking. sentence2: A cashier is smoking.
A man is erasing a chalk board.,A cashier is erasing a chalk board.,stsb sentence1: A man is erasing a chalk board. sentence2: A cashier is erasing a chalk board.
A man is doing exercise.,A cashier is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A cashier is doing exercise.
A man spins on a surf board.,A cashier spins on a surf board.,stsb sentence1: A man spins on a surf board. sentence2: A cashier spins on a surf board.
A man is reading an email.,A cashier is reading an email.,stsb sentence1: A man is reading an email. sentence2: A cashier is reading an email.
A man with a bicycle at a coffee house.,A cashier with a bicycle at a coffee house.,stsb sentence1: A man with a bicycle at a coffee house. sentence2: A cashier with a bicycle at a coffee house.
A man riding on the back of an orange SUV.,A cashier riding on the back of an orange SUV.,stsb sentence1: A man riding on the back of an orange SUV. sentence2: A cashier riding on the back of an orange SUV.
A man sitting in a back yard playing the guitar.,A cashier sitting in a back yard playing the guitar.,stsb sentence1: A man sitting in a back yard playing the guitar. sentence2: A cashier sitting in a back yard playing the guitar.
A man in a top hat rides a white horse.,A cashier in a top hat rides a white horse.,stsb sentence1: A man in a top hat rides a white horse. sentence2: A cashier in a top hat rides a white horse.
A man riding a brown horse.,A cashier riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A cashier riding a brown horse.
A man wearing black formal wear & a black top hat is riding a white show horse.,A cashier wearing black formal wear & a black top hat is riding a white show horse.,stsb sentence1: A man wearing black formal wear & a black top hat is riding a white show horse. sentence2: A cashier wearing black formal wear & a black top hat is riding a white show horse.
A man dressed in a pale scarf with a stick.,A cashier dressed in a pale scarf with a stick.,stsb sentence1: A man dressed in a pale scarf with a stick. sentence2: A cashier dressed in a pale scarf with a stick.
"A man sitting cross legged on the grass, with a tree in the background.","A cashier sitting cross legged on the grass, with a tree in the background.","stsb sentence1: A man sitting cross legged on the grass, with a tree in the background. sentence2: A cashier sitting cross legged on the grass, with a tree in the background."
A man and woman sit at a table in a restaurant.,A cashier and woman sit at a table in a restaurant.,stsb sentence1: A man and woman sit at a table in a restaurant. sentence2: A cashier and woman sit at a table in a restaurant.
A man stands in front of a building in the snow.,A cashier stands in front of a building in the snow.,stsb sentence1: A man stands in front of a building in the snow. sentence2: A cashier stands in front of a building in the snow.
A man and woman are posing for the camera.,A cashier and woman are posing for the camera.,stsb sentence1: A man and woman are posing for the camera. sentence2: A cashier and woman are posing for the camera.
A man riding a brown horse.,A cashier riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A cashier riding a brown horse.
A man and a woman watch two dogs.,A cashier and a woman watch two dogs.,stsb sentence1: A man and a woman watch two dogs. sentence2: A cashier and a woman watch two dogs.
A man sits by a dock looking at the water.,A cashier sits by a dock looking at the water.,stsb sentence1: A man sits by a dock looking at the water. sentence2: A cashier sits by a dock looking at the water.
A man and a woman are standing in front of a building,A cashier and a woman are standing in front of a building,stsb sentence1: A man and a woman are standing in front of a building sentence2: A cashier and a woman are standing in front of a building
A man in a black and orange jacket throws a stick for a brown and black dog to fetch.,A cashier in a black and orange jacket throws a stick for a brown and black dog to fetch.,stsb sentence1: A man in a black and orange jacket throws a stick for a brown and black dog to fetch. sentence2: A cashier in a black and orange jacket throws a stick for a brown and black dog to fetch.
A man and a woman walk with a white dog on a leash.,A cashier and a woman walk with a white dog on a leash.,stsb sentence1: A man and a woman walk with a white dog on a leash. sentence2: A cashier and a woman walk with a white dog on a leash.
A man in a suit dances with a young girl in front of an audience.,A cashier in a suit dances with a young girl in front of an audience.,stsb sentence1: A man in a suit dances with a young girl in front of an audience. sentence2: A cashier in a suit dances with a young girl in front of an audience.
A man and a dog on rocks on a beach.,A cashier and a dog on rocks on a beach.,stsb sentence1: A man and a dog on rocks on a beach. sentence2: A cashier and a dog on rocks on a beach.
A man climbing a rock-face.,A cashier climbing a rock-face.,stsb sentence1: A man climbing a rock-face. sentence2: A cashier climbing a rock-face.
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A cashier in a wet suit is throwing a baby wearing a wet suit up into the air.,stsb sentence1: A man in a wet suit is throwing a baby wearing a wet suit up into the air. sentence2: A cashier in a wet suit is throwing a baby wearing a wet suit up into the air.
A man is sitting in the water.,A cashier is sitting in the water.,stsb sentence1: A man is sitting in the water. sentence2: A cashier is sitting in the water.
A man in a blue bathing suit is jumping off a dock into a lake.,A cashier in a blue bathing suit is jumping off a dock into a lake.,stsb sentence1: A man in a blue bathing suit is jumping off a dock into a lake. sentence2: A cashier in a blue bathing suit is jumping off a dock into a lake.
A man in a black suit is surfing along a crashing wave.,A cashier in a black suit is surfing along a crashing wave.,stsb sentence1: A man in a black suit is surfing along a crashing wave. sentence2: A cashier in a black suit is surfing along a crashing wave.
A man running on a track.,A cashier running on a track.,stsb sentence1: A man running on a track. sentence2: A cashier running on a track.
A man steers a blue boat past brightly colored houses.,A cashier steers a blue boat past brightly colored houses.,stsb sentence1: A man steers a blue boat past brightly colored houses. sentence2: A cashier steers a blue boat past brightly colored houses.
A man wearing large sunglasses holds newspapers in both hands.,A cashier wearing large sunglasses holds newspapers in both hands.,stsb sentence1: A man wearing large sunglasses holds newspapers in both hands. sentence2: A cashier wearing large sunglasses holds newspapers in both hands.
A man with a gray beard is being shaved in front of a lecture hall,A cashier with a gray beard is being shaved in front of a lecture hall,stsb sentence1: A man with a gray beard is being shaved in front of a lecture hall sentence2: A cashier with a gray beard is being shaved in front of a lecture hall
A man is performing labor.,A cashier is performing labor.,stsb sentence1: A man is performing labor. sentence2: A cashier is performing labor.
A man is digging in the sand.,A cashier is digging in the sand.,stsb sentence1: A man is digging in the sand. sentence2: A cashier is digging in the sand.
A man drives a golf cart.,A cashier drives a golf cart.,stsb sentence1: A man drives a golf cart. sentence2: A cashier drives a golf cart.
A man in a plaid outfit is looking through a bag of produce.,A cashier in a plaid outfit is looking through a bag of produce.,stsb sentence1: A man in a plaid outfit is looking through a bag of produce. sentence2: A cashier in a plaid outfit is looking through a bag of produce.
A man uses a chainsaw to sculpt a phallic ice sculpture.,A cashier uses a chainsaw to sculpt a phallic ice sculpture.,stsb sentence1: A man uses a chainsaw to sculpt a phallic ice sculpture. sentence2: A cashier uses a chainsaw to sculpt a phallic ice sculpture.
A man is demonstrating how to work with clay while at least two people observe.,A cashier is demonstrating how to work with clay while at least two people observe.,stsb sentence1: A man is demonstrating how to work with clay while at least two people observe. sentence2: A cashier is demonstrating how to work with clay while at least two people observe.
A man is about to paint.,A cashier is about to paint.,stsb sentence1: A man is about to paint. sentence2: A cashier is about to paint.
A man eats popcorn while watching cartoons late one night.,A cashier eats popcorn while watching cartoons late one night.,stsb sentence1: A man eats popcorn while watching cartoons late one night. sentence2: A cashier eats popcorn while watching cartoons late one night.
